Date Created,Number of Likes,Source of Tweet,Tweets
2023-06-30 08:04:39+00:00,0,,"ভোট দেওয়ার আগে একবার ভাববেন।

 উনি #thekeralastroy   শুরু হওয়ার আগেই নিষিদ্ধ করে দিয়েছিলেন পশ্চিমবঙ্গে কিন্ত #adipurush   করেননি। 
বুঝতেই পারছেন কেন? 
তুষ্টিকরন। 
 https://t.co/RcgvT9xPEs https://t.co/ugUeLD2Emd"
2023-06-30 08:03:53+00:00,2,,"Dear Friends,
Subscribe ShreeTV
News and Views --Plz watch, like ,comment and share
5.ஆதிபுருஷ் - இந்துக்கள் என்றால் தொக்கா ? நீதிமன்றம் சாட்டையடி | #adipurush | #allahabad_highcourt | 
Link - https://t.co/iuSbr0Zii0
Full News Link- https://t.co/QHz0LiS0zS https://t.co/BNntFpOFFG"
2023-06-30 08:01:37+00:00,31,,"Yes, friends, whose followers are less than 10000, retweet this tweet and go to the retweet list and follow everyone and also give follow back.

#Prabhas #Prabhas𓃵 #Salaar #ProjectK #Adipurush #AA22 #AlluArjun #Housefull5 #AkshayKumar #jawan #ShahRukhKhan #srk #Tiger3 https://t.co/gf4KWMrWV6"
2023-06-30 08:01:33+00:00,1,,"#Adipurush lo ma gopi ni Ravan ga set cheyalsindhi atleast koncham negativity aina thaggedhi 😢 @Omraut

https://t.co/ZFAhrPXElx"
2023-06-30 08:01:15+00:00,19,,#Adipurush Anantapur City 2 Weeks Gross 1.16 Crs
2023-06-30 07:59:06+00:00,8,,"#Adipurush effect: Nitesh Tiwari’s #Ramayana with Ranbir Kapoor and Alia Bhatt to exercise caution | Exclusive by @gracecyril2 

https://t.co/TngN8TxqTk"
2023-06-30 07:54:00+00:00,5,,"""Is this a joke?”

The Allahabad High Court said that it has come across several films in recent times wherein Hindu gods have been “shown in a funny way”.

Read more: https://t.co/WTvM2xIxXv

#Adipurush https://t.co/5fSDDgaq5P"
2023-06-30 07:51:43+00:00,16,,"Sklm.. Noonshow 30/06

#Samajavaragamana
Sunmax..27,125

#Spy Svc..36,505

#Adipurush 8,130

#TholiPrema4K
Special show..41,430
Noonshow...    10,310"
2023-06-30 07:49:57+00:00,0,,"#Adipurush 

Clear summing-up for the debacle."
2023-06-30 07:42:38+00:00,18,,"#Adipurush Uttarandhra 14 Days Share : 8.77CR.

Note : Without GST."
